gene,samples_ge_min_count,retained
ASF1B,6,True
ASH1L,6,True
ASH2L,6,True
ASL,6,True
ASNA1,6,True
ASNS,6,True
ASNSD1,6,True
ASPH,6,True
ASPM,6,True
ASPN,6,True
ASPRV1,6,True
ASPSCR1,6,True
ASS1,6,True
ASTE1,6,True
ASTN2,6,True
ASXL1,6,True
ASXL2,6,True
ATAD1,6,True
ATAD2,6,True
ATAD2B,6,True
ATAD3A,6,True
ATAD3B,6,True
ATE1,6,True
ATF1,6,True
ATF2,6,True
ATF3,6,True
ATF4,6,True
ATF5,6,True
ATF6,6,True
ATF6B,6,True
ATF7,6,True
ATF7IP,6,True
ATF7IP2,6,True
ATG12,6,True
ATG16L1,6,True
ATG16L2,6,True
ATG2A,6,True
ATG2B,6,True
ATG4A,5,True
ATG4B,6,True
ATG4D,6,True
ATG5,6,True
ATG7,6,True
ATG9A,6,True
ATG9B,6,True
ATHL1,6,True
ATIC,6,True
ATL3,6,True
ATM,6,True
ATMIN,6,True
ATN1,6,True
ATOX1,6,True
ATP10A,6,True
ATP10B,6,True
ATP10D,6,True
ATP11A,6,True
ATP11B,6,True
ATP11C,6,True
ATP12A,6,True
ATP13A1,6,True
ATP13A2,6,True
ATP13A3,6,True
ATP13A4,5,True
ATP1A1,6,True
ATP1A2,6,True
ATP1B1,6,True
ATP1B3,6,True
ATP2A1,6,True
ATP2A2,6,True
ATP2A3,6,True
ATP2B1,6,True
ATP2B4,6,True
ATP2C1,6,True
ATP2C2,6,True
ATP5A1,6,True
ATP5B,6,True
ATP5C1,6,True
ATP5D,6,True
ATP5E,6,True
ATP5F1,6,True
ATP5G2,6,True
ATP5G3,6,True
ATP5H,6,True
ATP5J,6,True
ATP5L,6,True
ATP5O,6,True
ATP5SL,6,True
ATP6AP1,6,True
ATP6AP2,6,True
ATP6V0A1,6,True
ATP6V0A2,6,True
ATP6V0B,6,True
ATP6V0D1,6,True
ATP6V0E1,6,True
ATP6V0E2,6,True
ATP6V1A,6,True
ATP6V1B2,6,True
ATP6V1C1,6,True
ATP6V1C2,6,True
ATP6V1D,6,True
ATP6V1E1,6,True
ATP6V1F,6,True
ATP6V1G1,6,True
ATP6V1H,6,True
ATP7A,6,True
ATP7B,6,True
ATP8A1,6,True
ATP8B1,6,True
ATP8B2,6,True
ATP8B4,6,True
ATP9A,6,True
ATP9B,6,True
ATPAF1,6,True
ATPGD1,5,True
ATPIF1,6,True
ATR,6,True
ATRIP,6,True
ATRN,6,True
ATRX,6,True
ATXN1,6,True
ATXN10,6,True
ATXN1L,6,True
ATXN2,6,True
ATXN3,6,True
ATXN7,6,True
ATXN7L1,6,True
ATXN7L2,6,True
ATXN7L3,6,True
AUH,6,True
AUP1,6,True
AURKA,6,True
AURKAIP1,6,True
AURKB,6,True
AUTS2,6,True
AVEN,6,True
AVIL,6,True
AVL9,6,True
AVPI1,6,True
AXIN1,6,True
AXIN2,6,True
AXL,6,True
AXUD1,6,True
AZI1,6,True
AZI2,6,True
AZIN1,6,True
B2M,6,True
B3GALNT1,6,True
B3GALNT2,6,True
B3GALT4,6,True
B3GALT6,6,True
B3GALTL,6,True
B3GAT3,6,True
B3GNT1,6,True
B3GNT2,6,True
B3GNT5,6,True
B3GNT8,6,True
B3GNT9,6,True
B4GALNT1,6,True
B4GALNT3,6,True
B4GALT1,6,True
B4GALT2,6,True
B4GALT3,6,True
B4GALT4,6,True
B4GALT5,6,True
B4GALT7,6,True
BACE1,6,True
BACE2,6,True
BACH1,6,True
BACH2,6,True
BAD,6,True
BAG1,6,True
BAG3,6,True
BAG4,6,True
BAG5,6,True
BAHD1,6,True
BAI1,6,True
BAIAP2,6,True
BAIAP2L2,6,True
BANP,6,True
BAP1,6,True
BARD1,6,True
BARX2,6,True
BASP1,6,True
BAT1,6,True
BAT2,6,True
BAT2D1,6,True
BAT2L,6,True
BAT3,6,True
BAT4,6,True
BAT5,6,True
BAX,6,True
BAZ1A,6,True
BAZ1B,6,True
BAZ2A,6,True
BAZ2B,6,True
BBS1,6,True
BBS10,6,True
BBS2,6,True
BBS4,6,True
