gene,_genewise_converged,_MAP_converged,_LFC_converged,dispersions,model_converged
AIFM1,True,True,True,0.13635246736281703,True
AIFM2,True,True,True,0.1579483670528648,True
AIG1,True,True,True,0.14801862786574457,True
AIM1,True,True,True,0.2316077135509912,True
AIM1L,True,True,True,0.1289898736504115,True
AIP,True,True,True,0.16936299923429443,True
AK1,True,True,True,0.13115929102914226,True
AK2,True,True,True,0.11451997801273722,True
AK3,True,True,True,0.14193432707847803,True
AKAP1,True,True,True,0.11443703276585945,True
AKAP10,True,True,True,0.13019858989092387,True
AKAP11,True,True,True,0.10453653148257086,True
AKAP12,True,True,True,0.19618258498229796,True
AKAP13,True,True,True,0.10021319797703197,True
AKAP2,True,True,True,0.1260041593641997,True
AKAP6,True,True,True,0.16406385329368495,True
AKAP7,True,True,True,0.5008605334010406,True
AKAP8,True,True,True,0.11784395702590184,True
AKAP8L,True,True,True,0.12698069797986716,True
AKAP9,True,True,True,0.13548208247266524,True
AKIRIN1,True,True,True,0.1251982104542107,True
AKIRIN2,True,True,True,0.12136052049114249,True
AKNA,True,True,True,0.16155996553959026,True
AKR1A1,True,True,True,0.11517327008510816,True
AKR1B1,True,True,True,0.17083588542016195,True
AKR1B10,True,True,True,0.1397884493219081,True
AKR1C1,True,True,True,0.20539718420913253,True
AKR1C3,True,True,True,0.19779185913646238,True
AKR7A2,True,True,True,0.17257546616618835,True
AKT1,True,True,True,0.13262041043457315,True
AKT1S1,True,True,True,0.13292157382141964,True
AKT2,True,True,True,0.11750777132555763,True
AKT3,True,True,True,0.22659987536873163,True
ALAD,True,True,True,0.12388412986628651,True
ALAS1,True,True,True,0.1363654287216739,True
ALCAM,True,True,True,0.11199389008544487,True
ALDH16A1,True,True,True,0.1387514129369219,True
ALDH18A1,True,True,True,0.1144918794900829,True
ALDH1A1,True,True,True,0.17533302944751367,True
ALDH1A3,True,True,True,0.2226785060152431,True
ALDH1B1,True,True,True,0.14608577771974207,True
ALDH2,True,True,True,0.17754365645539333,True
ALDH3A1,True,True,True,0.22267848512090024,True
ALDH3A2,True,True,True,0.1140735299034033,True
ALDH3B1,True,True,True,0.3159126443825289,True
ALDH3B2,True,True,True,0.16582714039943233,True
ALDH4A1,True,True,True,0.17284254537531937,True
ALDH5A1,True,True,True,0.16070526476668182,True
ALDH6A1,True,True,True,0.15962761282870042,True
ALDH7A1,True,True,True,0.1462480536813334,True
ALDH9A1,True,True,True,0.13013181637066057,True
ALDOA,True,True,True,0.1222015135548142,True
ALDOC,True,True,True,0.26153380718457386,True
ALG1,True,True,True,0.17127445951615713,True
ALG10,True,True,True,0.2592725101434942,True
ALG10B,True,True,True,0.17697559778825442,True
ALG11,True,True,True,0.14719711839373495,True
ALG12,True,True,True,0.21528245072025998,True
ALG13,True,True,True,0.16146714018367575,True
ALG2,True,True,True,0.13386841075365355,True
ALG3,True,True,True,0.13068938841920183,True
ALG5,True,True,True,0.17954895725276426,True
ALG6,True,True,True,0.17128687465675926,True
ALG8,True,True,True,0.19785214059345654,True
ALG9,True,True,True,0.14941896843063532,True
ALKBH4,True,True,True,0.2558900815064321,True
ALKBH5,True,True,True,0.15483781763516788,True
ALKBH7,True,True,True,0.2463994115368001,True
ALKBH8,True,True,True,0.1942951109250012,True
ALMS1,True,True,True,0.10749862152491593,True
ALOX12,True,True,True,0.3862431156183379,True
ALOX12B,True,True,True,0.33368935234287017,True
ALOX12P2,True,True,True,0.15151163203842483,True
ALOX15B,True,True,True,0.28610168870312686,True
ALOX5,True,True,True,0.24419169829032156,True
ALOXE3,True,True,True,0.32796317490801824,True
ALPK1,True,True,True,0.27206515439877293,True
ALPK2,True,True,True,0.17548826147133748,True
ALPK3,True,True,True,0.1636775060738281,True
ALPL,True,True,True,0.24631763948906474,True
ALS2,True,True,True,0.11872547152227272,True
ALS2CL,True,True,True,0.11683800757435776,True
ALS2CR4,True,True,True,0.15785999827999486,True
ALS2CR8,True,True,True,0.15434872898950006,True
AMACR,True,True,True,0.17462638454285542,True
AMBRA1,True,True,True,0.13857811968938866,True
AMD1,True,True,True,0.1105066004094659,True
AMDHD2,True,True,True,0.1480640742259274,True
AMFR,True,True,True,0.1157249114420273,True
AMICA1,True,True,True,0.2008925305793072,True
AMIGO2,True,True,True,0.20717992488192324,True
AMMECR1,True,True,True,0.13839992929487197,True
AMMECR1L,True,True,True,0.11290453545753616,True
AMOT,True,True,True,0.32294411460963685,True
AMOTL1,True,True,True,0.12033916749185082,True
AMOTL2,True,True,True,0.1272336125252128,True
AMPD2,True,True,True,0.15503729188510404,True
AMPD3,True,True,True,0.11244291549909136,True
AMT,True,True,True,0.19154272931489882,True
AMY2B,True,True,True,0.25911096993659755,True
AMZ2,True,True,True,0.15366115502898037,True
