gene,stat
PC,3.3340873638837345
HR,3.3327405168229354
PDE7A,3.3300117331665557
HMGA1,3.329616640982818
PYCRL,3.328742821899832
TOP2A,3.3152971843890398
CYB5R2,3.301509390577787
DCBLD1,3.2993452890424315
CBX2,3.2835972699516778
TOP1MT,3.2692068037811817
POU3F1,3.2652376429203516
NFKBIL2,3.2608305617636444
ZC3H12A,3.2582599587220527
EFNA1,3.2479795721668814
TIGD5,3.2328404690549606
PLEC1,3.228417424086304
IMPDH1,3.22610894999858
AHNAK2,3.2227549598169496
SOX9,3.218581040722325
B4GALNT1,3.218215854821165
AURKB,3.2174363931325964
ATP12A,3.216280672220361
MYBL2,3.2156846944407906
DNAJC2,3.215527378922252
TRMT12,3.214965562475507
GABRE,3.2035293409407215
LOC553158,3.20243883283889
SNORD57,3.186339782219718
HES2,3.1821423760078127
CELSR3,3.179363070243383
SNORA78,3.1763109913721363
TGFBI,3.164676067724647
ZNF469,3.1644933414440097
GPR153,3.159226003519597
FZD6,3.1544661659906095
RTN4RL1,3.152959813763783
BAIAP2L2,3.151659354112221
DARS2,3.139279799329276
TMEM208,3.1333446993766483
AATF,3.1298814737243403
SOX2,3.1240113258387923
SCN9A,3.1155095216122133
HLTF,3.1112926082667984
PYCARD,3.103922931560605
LRRC8D,3.100947039305357
HSP90AA1,3.100898472691272
CYP27B1,3.0975849818903307
CKB,3.096476547317866
MCM2,3.0942547081162504
MDFI,3.0932110269638815
NAPEPLD,3.0863199379034225
SGPP2,3.0729531489077
KIF26A,3.0700395507053306
CEBPB,3.0563438472843623
KIF2C,3.05073502971937
SLC16A1,3.050180557922717
BCAM,3.049250792193533
MN1,3.046510980810212
NRARP,3.044988764370712
ENTPD7,3.0424116465217175
ESPN,3.0358928338839375
PRAGMIN,3.0343754727975076
DHCR7,3.0294123738995005
FOXQ1,3.024990254598777
MRPL13,3.0246321891233063
F11R,3.020984632787202
SH3BP4,3.0195881170592314
COL27A1,3.0086707792674
FOXC1,3.0076075872549164
FADS1,3.002698888297639
BUB1,3.002483269700629
GLI2,2.999382090035618
EFNB2,2.9989314894200634
ENO2,2.983056086920409
KIF26B,2.973352652126363
DFNA5,2.9698344631685747
GALNT14,2.9649875461754798
GJB3,2.964520175023299
HSPA12A,2.9636529510374126
BID,2.962296927093354
EMG1,2.960487423010964
RGS20,2.9553227536381215
CLCN2,2.9514068170031265
LMTK2,2.949055060303441
MTHFD2,2.9488394302908016
CDH3,2.9482165939562184
MICALL1,2.9444281620248374
KRT10,2.9338794960054737
FHDC1,2.930397189209294
SLC39A6,2.929337874072295
CYP26B1,2.9207278139415016
SNORA56,2.9144291153360413
ATP1B3,2.912091334053496
IL1F9,2.905960301279303
SNORD75,2.903288264998033
XPR1,2.902093393448693
LIMK1,2.8952638744645185
CHST2,2.8892617810980954
WDR67,2.885732623783356
ZNF697,2.8857315212886516
MAGEF1,2.8795697449720756
INHBB,2.8781407860918753
PLXNB3,2.8744085317937054
WNT9A,2.8695740723109235
DDX28,2.862121837139481
PTPRZ1,2.8610955191011644
SPNS1,2.856376682157096
SLC1A5,2.855036864665251
LPCAT1,2.8524545318170778
BNC1,2.850229554754507
RECQL4,2.8473727200909478
C1orf93,2.844578494561767
MLF2,2.841442470204152
CMTM4,2.8414211838571175
C11orf41,2.840093808146947
CCNE1,2.8394620434140476
NCAPH,2.837590736741173
SNORA71C,2.835392226121389
TMEM209,2.8343066668764703
ZNF707,2.831902763396905
TPX2,2.831029207986868
CTHRC1,2.8307608913793127
LRRC8A,2.8282165284953997
TINAGL1,2.826146413658298
VEGFA,2.820630421853753
RCC2,2.8167588021011687
CTSL2,2.8155124559697082
MCM7,2.815366310291442
GINS2,2.8149062374001166
KIAA0284,2.810855254650602
GNA12,2.8039282715345006
MST4,2.8026575543121104
MAPK10,2.8020317255201834
KLF13,2.801724015656831
SHMT2,2.7980486605385204
C14orf172,2.7973024371108046
ALKBH4,2.796104020938159
HSPH1,2.79570025988061
CENPN,2.794689841799236
FKBP4,2.7929427256872073
IGSF9,2.7842368400467086
FANCB,2.7820360285889696
