gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pvalue_model,model_converged,test_status,refseq,exons,direction
MYO1B,1962.0590235507764,1.4918612364633113,0.40620255103714137,3.6727027751406274,0.00023999857338278141,0.0034212008303385363,0.00023999857338278141,True,tested,NM_001130158,31,up
LAPTM4B,757.5897011666893,1.519975724242981,0.41421622706937816,3.6695224013722574,0.00024300404378043892,0.0034593502492646223,0.00024300404378043892,True,tested,NM_018407,7,up
E2F7,184.4212529476622,1.7709373944997127,0.48400242801146476,3.658943203602614,0.00025325745505392554,0.0035907190591046444,0.00025325745505392554,True,tested,NM_203394,13,up
F2RL1,363.63195527663765,1.554429305509847,0.4249170052459565,3.658195097675816,0.00025399767301251123,0.0035963605831124566,0.00025399767301251123,True,tested,NM_005242,2,up
NETO2,237.64935275073785,1.6434297996710312,0.44980579741422533,3.6536429924170135,0.0002585456949123617,0.003650915417673753,0.0002585456949123617,True,tested,NM_018092,9,up
COL7A1,11538.006442147767,1.4836964158409056,0.4066535757554823,3.6485512591017795,0.0002637232887661445,0.003709072117506177,0.0002637232887661445,True,tested,NM_000094,118,up
SLC6A2,88.25007856717833,3.136956478495652,0.8644404593971683,3.6288866912629936,0.0002846461347848962,0.003966170148607585,0.0002846461347848962,True,tested,NM_001043,14,up
SERINC2,1020.363158212304,1.518481627124084,0.41864086010871493,3.627170139889729,0.000286544489534918,0.003976798424113406,0.000286544489534918,True,tested,NM_178865,10,up
DNMT3B,132.51570950290065,1.9425491937606745,0.5355277267790994,3.6273550306050897,0.00028633944812973686,0.003976798424113406,0.00028633944812973686,True,tested,NM_006892,23,up
G6PD,660.4571900569528,1.485940837459743,0.41029885845647396,3.621606072826491,0.00029277971248083953,0.0040526266921260875,0.00029277971248083953,True,tested,NM_000402,13,up
MMP3,491.01230309162025,2.0196374344691743,0.5583388717719197,3.6172251952649153,0.00029777821263023065,0.004100206948746007,0.00029777821263023065,True,tested,NM_002422,10,up
FAM83H,3024.828864262811,1.5390021033759018,0.42593432093108907,3.6132380692207553,0.0003023968176951631,0.004154641711923317,0.0003023968176951631,True,tested,NM_198488,5,up
LRWD1,284.9205551118058,1.7885259145623358,0.49582430755597096,3.6071767505275822,0.0003095468077004688,0.004234503595965007,0.0003095468077004688,True,tested,NM_152892,15,up
DUSP10,278.35003549989005,1.6727825565163308,0.4638782936730033,3.606080688258087,0.00031085651433597494,0.004235873592235736,0.00031085651433597494,True,tested,NM_007207,4,up
LAMB3,4583.405587458066,1.6091581936778674,0.44621151973011014,3.6062677060672086,0.00031063267654950975,0.004235873592235736,0.00031063267654950975,True,tested,NM_000228,23,up
CDC6,225.06633042869444,1.7152159625054564,0.47641053603002487,3.6002897349805005,0.0003178627863891491,0.00432573372254456,0.0003178627863891491,True,tested,NM_001254,12,up
SLC7A5,5328.246237042931,1.4034124574565572,0.39002363879030416,3.598275380972743,0.0003203343402189646,0.004353729079353742,0.0003203343402189646,True,tested,NM_003486,10,up
