gene,GSM515513,GSM515514,GSM515515,GSM515516,GSM515517,GSM515518
PPM2C,576,998,345,1693,637,1214
PPME1,431,265,404,717,1134,990
PPOX,93,117,158,74,184,168
PPP1CA,296,762,327,450,908,662
PPP1CB,4564,4367,9917,8309,11484,12892
PPP1CC,789,797,874,695,1370,1390
PPP1R10,879,1046,1159,1943,2256,1623
PPP1R11,271,241,194,489,482,657
PPP1R12A,744,311,1052,1151,1699,1570
PPP1R12B,2141,282,1645,446,5741,1374
PPP1R12C,478,472,374,596,1742,642
PPP1R13B,399,383,439,725,632,600
PPP1R14C,193,889,295,1247,329,1557
PPP1R15A,887,632,1232,1308,1399,994
PPP1R15B,1074,876,1378,1575,2619,2641
PPP1R16B,202,22,117,69,965,173
PPP1R2,100,167,166,182,292,289
PPP1R3B,403,140,285,158,744,296
PPP1R3D,132,37,97,686,288,231
PPP1R8,232,211,188,229,520,695
PPP1R9A,99,13,85,3,275,39
PPP1R9B,863,968,795,852,2693,1992
PPP2CA,821,940,1111,761,1695,1148
PPP2CB,363,331,341,354,904,593
PPP2R1A,964,867,907,1078,3058,2280
PPP2R1B,264,59,240,189,526,496
PPP2R2A,617,224,741,555,756,426
PPP2R2C,589,571,613,1101,1130,2046
PPP2R3A,581,679,630,679,1446,2448
PPP2R4,1417,1207,939,2055,3481,2531
PPP2R5A,783,603,842,1096,1337,1042
PPP2R5B,151,371,190,180,586,433
PPP2R5C,452,373,556,542,1250,1245
PPP2R5D,381,442,322,644,814,562
PPP2R5E,213,273,214,367,323,398
PPP3CA,462,689,589,1063,1510,1856
PPP3CC,95,61,198,75,484,175
PPP4R1,1818,1830,2309,1519,2885,2277
PPP5C,158,108,148,279,403,250
PPP6C,570,325,766,809,1178,955
PPRC1,1134,644,687,2509,1667,1514
PPT1,382,679,480,1225,1377,997
PPT2,215,98,191,183,537,232
PPTC7,485,581,549,907,1370,917
PPWD1,187,155,249,223,334,215
PQLC1,233,396,277,431,784,342
PQLC2,76,87,54,146,214,143
PRAF2,39,63,36,52,182,134
PRAGMIN,261,940,321,750,453,764
PRC1,355,412,230,656,502,757
PRCC,432,587,305,433,854,823
PRCP,396,115,339,192,1209,538
PRDM1,910,426,870,449,1088,1078
PRDM10,226,204,301,212,509,553
PRDM15,152,76,92,166,301,237
PRDM2,843,534,887,923,2018,1438
PRDM4,443,84,337,487,813,1056
PRDM5,36,49,77,33,117,64
PRDX2,76,74,96,73,116,60
PRDX3,149,90,236,306,572,421
PRDX4,157,338,183,319,442,404
PRELP,450,2,190,41,597,48
PREP,230,96,273,364,511,469
PREPL,637,227,949,595,3230,1158
PREX1,397,206,301,222,2822,477
PREX2,299,13,338,26,1008,218
PRIC285,1050,1124,657,2615,2768,2513
PRICKLE1,109,265,109,234,594,743
PRICKLE2,654,89,561,477,1456,780
PRICKLE3,164,168,107,360,188,212
PRICKLE4,99,52,103,46,240,71
PRKAA1,542,340,849,930,1267,1086
PRKAA2,463,15,470,42,2677,314
PRKAB1,135,200,172,511,362,360
PRKAB2,547,364,800,779,1885,1395
PRKACA,459,203,440,270,1266,548
PRKACB,153,72,263,57,681,888
PRKAG1,366,122,305,297,594,598
PRKAG2,92,99,128,172,234,83
PRKAR1A,2136,1527,1725,1354,5472,3996
PRKAR1B,57,102,106,120,215,214
PRKAR2A,506,468,399,444,1192,901
PRKCA,310,525,192,609,1062,724
PRKCB,77,43,130,72,466,151
PRKCD,172,128,124,213,619,320
PRKCDBP,50,77,75,60,633,310
PRKCE,175,120,156,340,499,174
PRKCH,423,412,592,726,993,655
PRKCI,204,459,413,633,465,801
PRKCQ,121,8,69,32,537,240
PRKCSH,480,787,430,756,1185,857
PRKCZ,122,146,114,227,75,121
PRKD2,423,292,357,419,945,739
PRKD3,393,50,526,475,1171,1017
PRKDC,5208,3242,4997,16367,10464,18744
PRKG1,81,30,136,41,551,162
PRKRIP1,143,488,189,478,493,444
PRKX,260,299,444,812,526,498
PRLR,239,5,234,20,129,44
PRMT1,284,323,322,390,989,562
PRMT2,260,323,280,378,758,517
PRMT3,199,169,407,397,595,706
PRMT5,544,664,552,1081,1221,844
PRMT6,116,89,83,181,192,131
PRMT7,213,333,366,310,518,348
PRNP,1209,1483,1816,3112,2335,2729
PRNPIP,168,196,239,295,614,650
PRODH,81,136,87,353,77,96
PROM2,2296,2667,2349,2952,2677,3782
PROS1,128,30,115,118,347,152
PROSC,178,249,177,187,445,247
PRPF18,104,150,103,220,392,231
PRPF3,242,133,345,239,529,435
PRPF38A,134,69,99,99,218,201
PRPF38B,627,574,768,625,1131,1061
PRPF39,248,298,658,444,681,705
PRPF4,155,179,169,527,333,373
PRPF40A,1000,1013,1227,1922,1909,2157
PRPF40B,144,90,274,381,324,278
PRPF4B,797,683,1237,578,1699,1498
PRPF6,591,415,621,969,1279,1033
PRPF8,2436,2033,2032,4149,4656,3718
PRPS1,99,115,99,320,536,601
PRPS2,296,496,294,721,512,806
PRPSAP1,189,186,441,157,645,522
PRPSAP2,210,193,225,606,312,566
PRR12,531,475,593,625,1039,931
PRR14,200,263,230,351,335,317
PRR3,59,17,61,80,130,77
PRR5,102,175,102,141,363,152
PRRC1,496,639,605,572,1428,1554
PRRG2,49,53,49,32,30,80
PRRX1,923,604,873,294,5460,2008
PRRX2,63,54,33,121,234,82
PRSS12,107,34,91,53,177,106
PRSS22,397,376,247,386,495,728
PRSS23,145,183,166,243,684,835
PRSS27,684,27,416,89,578,29
PRSS8,485,459,634,638,640,810
PRUNE,138,126,183,95,425,358
PRUNE2,1396,19,2463,72,18565,2009
PRX,72,43,55,27,190,96
PSAP,5374,4400,4619,9226,26654,13314
PSAT1,213,163,297,677,192,546
PSD3,943,777,956,1142,2379,916
PSD4,514,615,674,915,1485,1185
PSEN1,557,555,600,1465,1418,1864
PSEN2,97,74,87,79,289,141
PSENEN,87,154,123,111,210,124
PSIP1,185,76,195,397,403,141
PSKH1,462,717,293,792,1166,1024
PSMA1,306,254,476,473,589,978
PSMA2,246,305,250,360,503,335
