gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pvalue_model,model_converged,test_status,direction
UBXN10,59.40648394082605,-0.71088833488009,0.5009621338193166,-1.4190460453773297,0.15588559234943083,0.23273317358960693,0.15588559234943083,True,tested,not_significant
CAMK2N1,368.0985149023431,-0.2948327561945943,0.4388031367916448,-0.6719021161751371,0.5016460131073149,0.5955690943774906,0.5016460131073149,True,tested,not_significant
ALPL,109.04381610006854,1.3803964928477508,0.3118704479072806,4.4261856232628505,9.591399704800213e-06,5.4196418085053435e-05,9.591399704800213e-06,True,tested,up
WNT4,551.996536758863,0.6713044720057458,0.37955615400791964,1.7686565345262157,0.07695121000309332,0.12936326036496665,0.07695121000309332,True,tested,not_significant
SCNN1D,196.16170031422385,1.6545487950422624,0.4704414442286977,3.5170132549757445,0.00043643198715702955,0.0015414149130892317,0.00043643198715702955,True,tested,up
MXRA8,628.0651809540318,2.0935514477402424,0.3702176115516313,5.654921274452312,1.5591772151704142e-08,1.7438166222300683e-07,1.5591772151704142e-08,True,tested,up
FAAP20,205.1445503561795,0.3007245381498416,0.19028972631378224,1.5803508890120297,0.11402653179570317,0.17954954062749662,0.11402653179570317,True,tested,not_significant
MEGF6,811.4642124760313,-0.929346868629657,0.23373596721461487,-3.9760541764474637,7.006816934846351e-05,0.00030798247300420427,7.006816934846351e-05,True,tested,not_significant
DIRAS3,30.58681294042945,-0.5069203725501659,0.3153492037941101,-1.607488988242798,0.10794714308131541,0.171565889413363,0.10794714308131541,True,tested,not_significant
NFIA,4750.8144756567335,-1.6335073594179867,0.1909851372009478,-8.55306011430234,1.1986742962366172e-17,9.384357977115621e-16,1.1986742962366172e-17,True,tested,down
OMA1,596.3713333506993,-0.6418732077382999,0.18312736571760307,-3.5050643863250857,0.00045649686893183526,0.001602719835427776,0.00045649686893183526,True,tested,not_significant
MYSM1,1325.2334752421928,-0.32886228347617685,0.11521622592554656,-2.854305292803894,0.004313106127503669,0.011204911130248943,0.004313106127503669,True,tested,not_significant
TM2D1,480.35451883601615,-0.051040065106177895,0.13214476512264334,-0.3862435644636221,0.6993162924959384,0.7669449386245085,0.6993162924959384,True,tested,not_significant
USP1,1809.3296461146758,0.1506001743771542,0.12262855347125709,1.2281003902769951,0.21940928455205233,0.30823671724021207,0.21940928455205233,True,tested,not_significant
FUBP1,2416.3620252963524,0.33945394711596105,0.13369471043396414,2.539023017545841,0.011116250947461466,0.025132344674956324,0.011116250947461466,True,tested,not_significant
NEXN,683.0834056776756,-0.5080043677891452,0.3742663386689466,-1.3573338430483195,0.17467515861650962,0.25554885511881786,0.17467515861650962,True,tested,not_significant
DNAJB4,933.3706218775804,-0.3737065500601316,0.19988515241334845,-1.8696063491866204,0.061538502941763606,0.107376566716567,0.061538502941763606,True,tested,not_significant
ADGRL4,331.54935199527085,1.0658701181858092,0.33703360563079177,3.1625039769874808,0.0015641859905621816,0.004666677687656733,0.0015641859905621816,True,tested,up
LRRIQ3,19.52235950886427,-0.10611003496641427,0.2689353515884123,-0.3945559196278838,0.693170650513629,0.7614681587585869,0.693170650513629,True,tested,not_significant
TYW3,649.5614929464349,-0.19838399474337776,0.1314116351028032,-1.5096379752689488,0.13113582579626068,0.20156501252589795,0.13113582579626068,True,tested,not_significant
LHX8,66.72301598407866,1.8081949937719022,0.5603141494598128,3.2271092841670073,0.001250476905604038,0.0038537660160621687,0.001250476905604038,True,tested,up
SNX7,493.4490040479046,0.425517657040465,0.17120746217770144,2.485392001189804,0.01294088466780177,0.0285707843315104,0.01294088466780177,True,tested,not_significant
B3GALT2,19.708094565816772,-0.8416858297200515,0.4081336261470476,-2.062280037217022,0.039181082475291354,0.07322608336131825,0.039181082475291354,True,tested,not_significant
FAM102B,931.2651125438848,-0.20072827776917987,0.22404921478463857,-0.8959115431943141,0.37030000859948375,0.4683190557957195,0.37030000859948375,True,tested,not_significant
HENMT1,188.62569543314925,1.579232740238033,0.21636799803156415,7.298827712995023,2.9028573529401763e-13,9.36998259493348e-12,2.9028573529401763e-13,True,tested,up
AKNAD1,15.044106194435054,0.9182106609662195,0.4907372915340719,1.8710839318851074,0.061333448375243384,0.10705016656869994,0.061333448375243384,True,tested,not_significant
C1orf52,397.9771374249453,0.18762526474037788,0.09799035291204854,1.9147320033512012,0.055526689987537826,0.09837731178933501,0.055526689987537826,True,tested,not_significant
WDR63,19.683999293574754,-0.5775975377317589,0.3989774759674395,-1.4476946006317826,0.147702480655779,0.22267645943459927,0.147702480655779,True,tested,not_significant
GBP2,1941.2258255936827,-0.08803372806749617,0.23260152233167247,-0.37847442778971424,0.7050781871126286,0.7718887237019577,0.7050781871126286,True,tested,not_significant
ATXN7L2,83.94199249041812,0.03334384472739501,0.1892805698695874,0.176160948534594,0.860167499507531,0.8939211612837348,0.860167499507531,True,tested,not_significant
GBP4,1102.990813344078,-0.32083944741300563,0.41556181907462053,-0.7720618995447076,0.44007776678957156,0.5371940188192472,0.44007776678957156,True,tested,not_significant
ZNF326,905.8672333395473,-0.8836373885515113,0.12033190689110573,-7.343334044819536,2.0833768171599834e-13,6.899494654231114e-12,2.0833768171599834e-13,True,tested,not_significant
GFI1,47.939030443208644,1.3033759724926381,0.35040303923969157,3.719648023946133,0.00019950060027861433,0.0007716328743170673,0.00019950060027861433,True,tested,up
KCNT2,44.90808574381505,-1.1807646622385732,0.3764630705069236,-3.136468766109311,0.0017099564947086567,0.005040912209834768,0.0017099564947086567,True,tested,down
AGL,3814.719259789387,-0.8462836719353398,0.2744850328866909,-3.0831687361426767,0.0020480899008719724,0.005895391908568475,0.0020480899008719724,True,tested,not_significant
VCAM1,433.7827799307602,0.9784563784736525,0.3027661441400231,3.2317232207480124,0.0012304617645658084,0.003800612994895255,0.0012304617645658084,True,tested,not_significant
EXTL2,331.2636921275735,0.7170261157975055,0.24766013875541987,2.8952019465095042,0.003789146768735147,0.01005594258428819,0.003789146768735147,True,tested,not_significant
SLC30A7,1919.4071151171836,0.5167016505336217,0.15316949131798518,3.373397966445754,0.0007424655792807224,0.0024574467995848127,0.0007424655792807224,True,tested,not_significant
ZNF281,877.8696097749008,1.3045700622823697,0.1998079785233615,6.529118966737555,6.615768839027081e-11,1.3020008134138192e-09,6.615768839027081e-11,True,tested,up
ARPC5,4328.236267199315,0.644967989668865,0.17138276361156846,3.7633188780328966,0.00016767317776168416,0.0006643654213198807,0.00016767317776168416,True,tested,not_significant
CADM3,88.49104536660862,0.02174379520443968,0.4293699594245915,0.05064116556635457,0.9596114595123725,0.9704852437561386,0.9596114595123725,True,tested,not_significant
NLRP3,124.51769487577671,0.8208972529068224,0.324563322506634,2.5292360411119574,0.011431112143942834,0.025724325739962126,0.011431112143942834,True,tested,not_significant
ZNF496,566.2248792426316,0.06028168408505195,0.1333040079245058,0.4522120904211022,0.6511161990140426,0.7268918611402427,0.6511161990140426,True,tested,not_significant
TRIM58,48.70151272193664,-1.6404824080107465,0.5243442679238899,-3.1286361048746456,0.0017561965491963742,0.00516103200578783,0.0017561965491963742,True,tested,down
IGSF8,813.8122975598351,1.086483362057066,0.19455515966951556,5.584448975306742,2.3444233381488422e-08,2.534703609082788e-07,2.3444233381488422e-08,True,tested,up
DDR2,1678.5493376661134,0.6632719442995263,0.3759047901598297,1.764467922894816,0.07765323130546369,0.13034701700230647,0.07765323130546369,True,tested,not_significant
PEA15,3340.2758222819098,0.33656825319871503,0.18443115588423478,1.8248991152556397,0.06801625476764231,0.11678435432882024,0.06801625476764231,True,tested,not_significant
PEX19,1435.476107920142,-0.3058656909039349,0.12264726586310219,-2.4938647327478094,0.012636068847379204,0.028008325607881822,0.012636068847379204,True,tested,not_significant
NCSTN,1905.4305298367774,0.3572813428948992,0.1591647205820552,2.2447269821373994,0.024785664775466582,0.04984498831028374,0.024785664775466582,True,tested,not_significant
VANGL2,838.8569973538284,0.546113736583301,0.21537965439913564,2.5355864652436395,0.011225921144995963,0.02531682785068578,0.011225921144995963,True,tested,not_significant
SLAMF6,71.95299330125904,-0.13816232569661366,0.30231131353807106,-0.45702003037744204,0.6476566483632284,0.7238678691597151,0.6476566483632284,True,tested,not_significant
OLFML2B,724.8978225221057,2.789859367424856,0.3746366513032076,7.446840445856211,9.560212333942496e-14,3.4267026136721596e-12,9.560212333942496e-14,True,tested,up
FCRLB,17.82302481865474,0.553347908326314,0.287726475942771,1.9231734115298282,0.0544582752403149,0.09679181649304201,0.0544582752403149,True,tested,not_significant
FCGR3B,112.50092053900599,1.0318122838095445,0.3989652153436462,2.586221164471192,0.009703464580994248,0.02239307750299171,0.009703464580994248,True,tested,up
KLHDC9,30.742455739442974,-1.411145013406606,0.4048080713573368,-3.4859606644575614,0.0004903731054835079,0.0017049396051578918,0.0004903731054835079,True,tested,down
C1orf74,688.9301073735337,0.7616294613810682,0.31345819252959756,2.4297640946460604,0.015108653196576711,0.0325829962013887,0.015108653196576711,True,tested,not_significant
FLVCR1,263.08971058995684,-0.07647386804365684,0.12705925831162557,-0.6018756056020491,0.5472569434545785,0.6365940984466749,0.5472569434545785,True,tested,not_significant
ATF3,1028.3670319313385,-1.017746964956018,0.33817200455141794,-3.0095541655083187,0.00261631423001849,0.007298204251575254,0.00261631423001849,True,tested,down
RBM15,804.6981332313127,0.12961863940898952,0.11889497609399027,1.0901944192033972,0.2756275111812476,0.3695876708672829,0.2756275111812476,True,tested,not_significant
DENND2D,879.7800853831307,-1.0953102217135657,0.285138564098262,-3.8413261467365367,0.00012237139234280736,0.0005053978142802201,0.00012237139234280736,True,tested,down
IER5,1440.948839531789,0.6336582459592972,0.2294840380189239,2.761230155393396,0.005758408037590539,0.014317813549378899,0.005758408037590539,True,tested,not_significant
SNED1,288.0237951896816,-1.1584399527124054,0.30327880630339143,-3.819719441765196,0.0001336035526022492,0.0005442317238590024,0.0001336035526022492,True,tested,down
BPNT1,747.0596925961399,0.12951927908726463,0.20205198573495955,0.641019580263669,0.5215099615821903,0.6138100671954941,0.5215099615821903,True,tested,not_significant
SPATA17,23.363417561703436,0.5194423771269518,0.29603842028907634,1.75464514578792,0.07932002420179839,0.13267734100934322,0.07932002420179839,True,tested,not_significant
C1orf115,356.2562382690352,-1.7871862066776276,0.3831442692979932,-4.664525480055218,3.0933000373579427e-06,1.9991095462287935e-05,3.0933000373579427e-06,True,tested,down
BROX,2702.5297456100325,-0.04633154339412388,0.15297188726600952,-0.302876196549474,0.7619842122450771,0.8184094947996065,0.7619842122450771,True,tested,not_significant
NBPF20,353.8643035606137,0.3892858072753592,0.3158414842923702,1.2325353908069994,0.2177491548257069,0.30612132107103,0.2177491548257069,True,tested,not_significant
ACP6,231.63111471436648,-1.2491924713915776,0.17630057798897625,-7.085583528090801,1.3845962572530339e-12,3.825858079251804e-11,1.3845962572530339e-12,True,tested,down
KIF26B,1033.9772146085818,2.255790097398845,0.4030789291278724,5.596397961758056,2.1885102786890163e-08,2.386371928808732e-07,2.1885102786890163e-08,True,tested,up
TFB2M,417.4689975710083,0.3801242056693953,0.13166937242150117,2.8869599564319204,0.003889837328433867,0.01028188898453199,0.003889837328433867,True,tested,not_significant
CNST,1348.8892142742714,-0.40840446049205736,0.17548118468192822,-2.3273404566553313,0.01994715214147999,0.04135385200062925,0.01994715214147999,True,tested,not_significant
PPP1R21,637.3812478534627,0.25489145452460166,0.16997030656671913,1.4996234323113846,0.13371197437288643,0.20478410489541163,0.13371197437288643,True,tested,not_significant
KLHDC8A,168.56394521552028,-4.259166749089389,0.6099477200017531,-6.982839035904828,2.8927378463246483e-12,7.516065583245265e-11,2.8927378463246483e-12,True,tested,down
PKDCC,216.0369893466939,-1.6176497614681578,0.47471295263444907,-3.407637715572979,0.0006552783257733773,0.002204432362430227,0.0006552783257733773,True,tested,down
