gene,in_library
ADD3,True
ADGRA2,True
ADGRA3,False
ADGRB1,False
ADGRB2,False
ADGRB3,False
ADGRD1,False
ADGRE2,False
ADGRE3,False
ADGRE4P,False
ADGRE5,False
ADGRF1,False
ADGRF2,False
ADGRF4,False
ADGRF5,False
ADGRG1,True
ADGRG2,False
ADGRG3,False
ADGRG5,False
ADGRG6,False
ADGRL1,False
ADGRL2,True
ADGRL3,False
ADGRL4,True
ADGRV1,False
ADH1B,False
ADH1C,True
ADH5,True
ADH7,True
ADHFE1,False
ADI1,False
ADIPOQ,True
ADIPOR1,True
ADIPOR2,True
ADIRF,False
ADIRF-AS1,False
ADK,False
ADM,True
ADM2,False
ADM5,False
ADNP,False
ADNP-AS1,False
ADNP2,False
ADO,False
ADORA1,False
ADORA2A,False
ADORA2B,True
ADORA3,False
ADPGK,False
ADPRH,False
ADPRHL1,False
ADPRHL2,False
ADPRM,False
ADRA2A,False
ADRA2C,True
ADRB1,False
ADRB2,False
ADRM1,True
ADSL,True
ADSS,False
ADSSL1,False
ADTRP,False
AEBP1,True
AEBP2,False
AEN,True
AF001548.2,False
AF064858.1,False
AF111167.2,False
AF117829.1,False
AF127577.4,False
AF131215.2,False
AF131215.4,False
AF131215.5,False
AF131215.6,False
AF165147.1,False
AF235103.3,False
AF274858.1,False
AFAP1,False
AFAP1L1,False
AFAP1L2,True
AFDN,False
AFDN-DT,False
AFF1,True
AFF2,False
AFF3,False
AFF4,False
AFG1L,False
AFG3L1P,False
AFG3L2,True
AFMID,False
AFTPH,False
AGAP1,False
AGAP11,False
AGAP12P,False
AGAP2,False
AGAP2-AS1,False
AGAP3,False
AGAP4,False
AGAP5,False
AGAP6,False
AGAP9,False
AGBL1,False
AGBL2,False
AGBL3,False
AGBL5,False
AGER,True
AGFG1,True
AGFG2,False
AGGF1,True
AGK,False
AGL,True
AGMAT,False
AGO1,False
AGO2,True
AGO3,False
AGO4,True
AGPAT1,False
AGPAT2,False
AGPAT3,True
AGPAT4,True
AGPAT4-IT1,False
AGPAT5,False
AGPS,False
AGR2,True
AGRN,True
AGT,False
AGTPBP1,False
AGTR1,False
AGTRAP,False
AHCTF1,False
AHCY,True
AHCYL1,False
AHCYL2,False
AHDC1,False
AHI1,False
AHNAK2,False
AHR,True
AHRR,False
AHSA1,False
AHSA2P,False
AIDA,False
AIF1,False
AIF1L,False
AIFM1,True
AIFM2,False
AIFM3,True
AIG1,False
AIM2,False
AIMP1,False
AIMP2,True
AIP,False
AJAP1,False
AJM1,False
AJUBA,False
AK1,True
AK2,True
AK3,True
AK4,True
AK4P1,False
AK5,False
AK6,False
AK7,False
AK8,False
AK9,False
AKAP1,True
AKAP10,True
AKAP11,False
AKAP12,True
AKAP13,True
AKAP17A,False
AKAP2,False
AKAP3,False
AKAP5,False
AKAP6,False
AKAP7,True
AKAP8,False
AKAP8L,False
AKAP9,False
AKIP1,False
AKIRIN1,False
AKIRIN2,False
AKNA,False
AKNAD1,False
AKR1A1,True
AKR1B1,False
AKR1B10,True
AKR1B10P1,False
AKR1B15,False
AKR1C1,False
AKR1C2,True
AKR1C3,True
AKR1E2,False
AKR7A2,False
AKR7A3,False
AKT1,True
AKT1S1,True
AKT2,True
AKT3,True
AKTIP,False
AL008721.2,False
AL009174.1,False
AL009179.1,False
AL020996.1,False
AL021155.2,False
AL021328.1,False
AL021368.2,False
AL021368.4,False
AL021392.1,False
AL021578.1,False
AL021707.2,False
AL021707.6,False
AL022068.1,False
AL022069.3,False
AL022238.4,False
AL022311.1,False
AL022344.1,False
AL023284.4,False
AL023806.3,False
AL024508.2,False
AL031009.1,False
AL031058.1,False
AL031123.1,False
AL031123.2,False
AL031123.5,False
AL031282.2,False
AL031587.5,False
AL031595.3,False
AL031708.1,False
AL031775.1,False
AL031777.3,False
AL031847.2,False
AL031985.3,False
AL033384.1,False
AL033523.1,False
AL033543.1,False
AL034397.3,False
AL034430.1,False
AL034430.2,False
AL035071.1,False
AL035078.4,False
AL035427.2,False
AL035461.2,False
AL035461.3,False
AL035530.2,False
AL035661.1,False
AL035681.1,False
AL049597.2,False
AL049629.2,False
AL049775.1,False
AL049776.1,False
AL049779.4,False
AL049828.1,False
AL049834.1,False
