gene,discovery_log2FoldChange,discovery_lfcSE,discovery_pvalue,discovery_padj,discovery_test_status,validation_log2FoldChange,validation_lfcSE,validation_pvalue,validation_padj,validation_test_status,discovery_candidate,mapping_status,testable,same_direction,replicated,replicated_large_effect,validation_outcome,lfc_difference
ABLIM1,-0.3160285639930228,0.4018463278767179,0.4316089732346259,0.7428903835463742,tested,-1.3955637118340554,0.30634309536220733,5.224671820109959e-06,3.169965737218313e-05,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-1.0795351478410327
ABLIM2,-1.9806884803749576,0.4800479082619622,3.690911408645174e-05,0.00066626658521,tested,-0.5520384484811705,0.3856079972023265,0.15225681498140864,0.22838522247211296,tested,True,matched_exact_symbol,True,True,False,False,not_significant,1.4286500318937871
ABLIM3,-2.909094278479283,0.4424790415242299,4.880520217098043e-11,3.351290549073989e-09,tested,-0.3975492379127856,0.33358762275633735,0.23336376783922974,0.32411634422115243,tested,True,matched_exact_symbol,True,True,False,False,not_significant,2.511545040566497
ABO,-2.320638707750786,0.5904511181238177,8.484670557644098e-05,0.0013884727239658,tested,-2.7028508664176796,0.5517419054451239,9.644363473356364e-07,7.066990476166301e-06,tested,True,matched_exact_symbol,True,True,True,True,replicated,-0.3822121586668934
ABR,-0.3609683207370038,0.3870654137811287,0.3510383887269386,0.6753358930535098,tested,-0.751098016106614,0.18878083096760667,6.929970916341463e-05,0.00030505543984388434,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.3901296953696102
ABT1,-0.0635365330975138,0.4838831521047742,0.8955336184202526,0.970863128070782,tested,0.2706160080673603,0.13071627559081075,0.03842848199296775,0.0721443419830116,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,0.3341525411648741
ABTB1,0.1077409577340958,0.538557538521459,0.8414378144527246,0.9535425952498006,tested,0.361678812185221,0.24990218872295591,0.14781810100214549,0.22281313147173595,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,0.2539378544511252
ABTB2,-0.3596819006177731,0.4802918619079019,0.4539283673275804,0.7583036137929019,tested,0.30610635988266116,0.22767558433078483,0.1787916720552084,0.2603974662357596,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,0.6657882605004343
ACAA1,-1.1709583566720887,0.4190119339494967,0.0051968720766528,0.0427886661734445,tested,-0.8233422651193314,0.18459745159903385,8.188173157653823e-06,4.736192186134826e-05,tested,True,matched_exact_symbol,True,True,True,False,replicated,0.3476160915527573
ACACA,0.6573475356996038,0.4753223129056269,0.1666798472314591,0.4641236350420645,tested,0.1712733923368652,0.20088602613615492,0.3938867781895645,0.49253092754351846,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.4860741433627386
ACACB,-3.0166948500769832,0.5779406153659333,1.791826873128718e-07,6.0725590739001e-06,tested,-2.000590259032977,0.3009510643591217,2.979915161197519e-11,6.362617898011448e-10,tested,True,matched_exact_symbol,True,True,True,True,replicated,1.016104591044006
ACAD10,0.1802286901582103,0.4389807605779026,0.6813939477644033,0.880965396900421,tested,-0.13838092255774675,0.1168841335381885,0.2364465641066461,0.32735369342306936,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,-0.31860961271595706
ACAD11,-0.6075634478173944,0.461807217286415,0.1883011544338507,0.4960611656173611,tested,-0.4508190191149538,0.20200021072287896,0.025629837813557654,0.05128840862914844,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,0.15674442870244054
ACAD8,-0.8485334268091438,0.5030388312871904,0.0916389376754196,0.3315284708050822,tested,-0.8125597883155808,0.14606023532699702,2.6489815165160292e-08,2.824630828543078e-07,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,0.03597363849356294
ACAD9,0.7409494686985262,0.4164034393726276,0.07517373880181,0.2954640104196842,tested,0.278552248524067,0.1458203326985278,0.056101951807572846,0.0992585825914536,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.46239722017445917
ACADM,-0.8331160900988255,0.4270419834074003,0.0510689747944941,0.2303695359342874,tested,-1.0203765599756114,0.2113609353618764,1.3815381809202488e-06,9.682158040607161e-06,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.1872604698767859
ACADS,-0.5169908056750504,0.50577673286613,0.3066995089143914,0.6357758639683287,tested,-0.6760111493972154,0.25243842921908205,0.00740798313328438,0.01779147610963615,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.159020343722165
ACADSB,-1.1819396181529005,0.5302063711645932,0.0258001520515066,0.1447177776044466,tested,-2.34209936805799,0.23567986924511883,2.855392872449306e-23,5.858478479680472e-21,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-1.1601597499050895
ACADVL,-0.2886564266973612,0.4141623345310029,0.4858250373773609,0.7789294376777266,tested,-1.014111846284565,0.14264152869686955,1.1645287404179682e-12,3.28948110903287e-11,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.7254554195872038
ACAP1,-1.1422468465726434,0.5336779418728036,0.0323281166702887,0.1693116618833766,tested,0.10360253248335122,0.23590363077790502,0.6605361036645057,0.7342133344536782,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,1.2458493790559946
ACAP2,0.4248752871263722,0.3813372542841863,0.2652054097292528,0.5907248878856849,tested,-0.021571590130668884,0.19554932689923293,0.91216132112055,0.9347310168208174,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,-0.4464468772570411
ACAP3,0.4837284377590972,0.3878780499312074,0.2123554248558922,0.5245280431400186,tested,-0.7840238553524835,0.16107305394460253,1.1301611564491963e-06,8.08876368990303e-06,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,-1.2677522931115808
ACAT1,-0.9330492525654362,0.4444233028732531,0.035776309889337,0.1815049998231386,tested,-1.2434186557962463,0.2937124230045217,2.3012709664522198e-05,0.00011633442863543506,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.3103694032308101
ACAT2,0.0340651009356895,0.4557916398512505,0.9404229188360562,0.9871628053302028,tested,-0.3552252252460143,0.2810030752806015,0.2061823389247759,0.2928353556498448,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,-0.3892903261817038
ACBD3,0.2701445778943414,0.3925229936058951,0.4913103961929435,0.781603122713971,tested,0.12523976902980502,0.11922984876880527,0.2935314092085648,0.38886267287909165,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.14490480886453636
ACBD4,-1.0782592038595726,0.6590778812638856,0.1018371136843153,0.352172717698294,tested,-1.4451305538987764,0.26681916738686723,6.089867245844832e-08,5.927160869047451e-07,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.3668713500392038
ACBD5,-0.1135391927594162,0.4223394609772991,0.7880574532586824,0.9316227752825156,tested,-0.18179978046399034,0.13916262832005694,0.191422127677072,0.27570110824823385,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.06826058770457415
ACCS,-0.987876869596022,0.508175854287811,0.0518994832218465,0.2329158354244852,tested,-1.290127359948725,0.18361504399397,2.121403330344342e-12,5.665206707602316e-11,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.3022504903527031
ACD,1.1233501699082138,0.5506915645590559,0.0413612912517556,0.2022064801726128,tested,0.5778253816460174,0.145837950242806,7.42916185328456e-05,0.00032486658275631894,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.5455247882621964
ACE,-0.7938997002358723,0.6109780643915765,0.1938096091099997,0.504000929037044,tested,0.710823066424876,0.34600816794367506,0.03994149698135591,0.0744445777505694,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,1.5047227666607483
ACHE,-2.7501105716335577,0.5658345929747458,1.1722401237128872e-06,3.1417231478896924e-05,tested,-1.388680495717977,0.3932775386719479,0.0004139220809632422,0.0014732819830895062,tested,True,matched_exact_symbol,True,True,True,True,replicated,1.3614300759155806
ACIN1,-0.0696848552373408,0.3832923675093425,0.855734969393994,0.9582185087339896,tested,0.01986159576346437,0.13353662545321823,0.881762590072749,0.9110594022226539,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,0.08954645100080517
