gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pvalue_model,model_converged,test_status,refseq,exons,direction
SNORD107,397.89416532096766,-2.318199524558036,0.5673646969161026,-4.085907243010633,4.390491722645905e-05,0.0007802696236126646,4.390491722645905e-05,True,tested,NR_001293,1,down
CYYR1,125.24776258050754,-2.1273239179608834,0.5206910504479005,-4.085578033520934,4.3967220367285124e-05,0.0007802696236126646,4.3967220367285124e-05,True,tested,NM_052954,4,down
TMEM40,499.08552234655036,-1.8125718792415095,0.4449697794056055,-4.073471869623952,4.631744818594772e-05,0.0008205920921442948,4.631744818594772e-05,True,tested,NM_018306,12,down
MGC33894,280.0244477850846,-1.8594079041707472,0.4568227387062039,-4.0703050584497875,4.6951615629921896e-05,0.0008304270602827599,4.6951615629921896e-05,True,tested,NM_152914,3,down
TNNC1,1280.2999282642797,-8.177064936103296,2.009500448091785,-4.06920284285988,4.717426399982495e-05,0.0008329627186254805,4.717426399982495e-05,True,tested,NM_003280,6,down
EIF4E3,274.4187914808039,-1.8496143619962455,0.45464696079486,-4.068243101774092,4.7368947420654195e-05,0.0008349969154385788,4.7368947420654195e-05,True,tested,NM_001134649,8,down
FBN1,4400.247493291017,-1.6243785234620147,0.40008057625935095,-4.0601284337508465,4.9045729980984834e-05,0.0008631062632834618,4.9045729980984834e-05,True,tested,NM_000138,66,down
MOXD1,242.7447713017652,-2.0766220937052897,0.512164296705513,-4.05460143759165,5.0219854728357916e-05,0.0008822906250436928,5.0219854728357916e-05,True,tested,NM_015529,12,down
MAOB,79.07608297201918,-2.4872379315104802,0.616351606650327,-4.0354205370337555,5.450458447830724e-05,0.0009543752742151598,5.450458447830724e-05,True,tested,NM_000898,15,down
ADCY6,740.3015136005216,-1.6101349715691438,0.3992094161798733,-4.033309101215336,5.499686095087973e-05,0.0009608327191080377,5.499686095087973e-05,True,tested,NM_015270,21,down
AP1S2,129.7828129303659,-2.2227754266923165,0.551139317178502,-4.033055449702943,5.505628182972003e-05,0.0009608327191080377,5.505628182972003e-05,True,tested,NM_003916,5,down
ICA1,44.87280181826367,-2.8281325979265755,0.7013524969623729,-4.032398273586389,5.5210516191441975e-05,0.0009619265059822378,5.5210516191441975e-05,True,tested,NM_001136020,14,down
GBE1,643.9273898927106,-2.1467058112464024,0.5330414824783386,-4.027277204140747,5.642649307297937e-05,0.0009814846626237106,5.642649307297937e-05,True,tested,NM_000158,16,down
KIT,117.29121847328798,-2.2239277330618807,0.5523924312990119,-4.025992405131381,5.6735520063155455e-05,0.0009852287169975391,5.6735520063155455e-05,True,tested,NM_000222,21,down
NR2F2,351.537216234699,-1.8843526444773548,0.4681922912997443,-4.024740858603675,5.703808984839168e-05,0.000985630642143285,5.703808984839168e-05,True,tested,NM_021005,4,down
GIPC2,49.36225457269283,-2.8877616913147466,0.7174249730896197,-4.025175871531881,5.693274967326048e-05,0.000985630642143285,5.693274967326048e-05,True,tested,NM_017655,6,down
MRVI1,211.42612735564853,-1.8303551513201615,0.45514060607691464,-4.021515828035892,5.782482163177354e-05,0.0009975493859826154,5.782482163177354e-05,True,tested,NM_001100163,21,down
CAP2,274.7382664381689,-1.788687266192623,0.4454963917863987,-4.015043217342693,5.943490303627325e-05,0.0010228058700801049,5.943490303627325e-05,True,tested,NM_006366,13,down
