gene,in_library
CDC42EP3,False
CDC42EP4,True
CDC42SE1,False
CDC42SE2,True
CDC45L,False
CDC5L,True
CDC6,True
CDC7,True
CDC73,False
CDCA3,True
CDCA4,False
CDCA5,False
CDCA7,False
CDCA7L,False
CDCA8,True
CDCP1,True
CDGAP,False
CDH1,True
CDH11,True
CDH13,True
CDH23,False
CDH24,False
CDH3,True
CDH5,False
CDIPT,False
CDK10,False
CDK2,True
CDK2AP1,False
CDK2AP2,False
CDK3,False
CDK5R1,True
CDK5RAP1,False
CDK5RAP2,True
CDK5RAP3,False
CDK6,True
CDK7,True
CDK9,True
CDKAL1,True
CDKL5,False
CDKN1A,True
CDKN1B,True
CDKN2AIP,True
CDKN2AIPNL,False
CDKN2B,True
CDKN2C,True
CDKN2D,True
CDON,True
CDR2,True
CDR2L,False
CDRT4,False
CDS1,False
CDS2,False
CDSN,True
CDV3,False
CDYL,False
CEACAM1,False
CEACAM19,False
CEACAM5,False
CEACAM6,False
CEACAM7,False
CEBPA,True
CEBPB,True
CEBPD,True
CEBPG,True
CEBPZ,False
CECR1,False
CECR5,False
CELSR1,True
CELSR2,True
CELSR3,False
CENPB,False
CENPC1,False
CENPE,True
